,dipole_smiles,G_act_min,G_act_mean,G_act_st_dev,G_r_min,G_r_mean,G_r_std_dev
214,CNC(=O)C(=[O+][N-]c1ccccc1)c1ccccc1,7.763002,15.099072174999998,2.8591751111639803,-45.732185,-29.07509295,7.6743553771591335
215,CNC(=O)C(C(C)=O)=[N+](C)[C-](C(=O)NC)C(=O)NC,27.248535,38.34298385714286,5.992287623045595,-32.56533,-14.542344480952382,8.743696041527237
216,COC(=O)[C-](C)[N+](C)=C(C)C,14.7160015,29.81240121428571,5.4645440884420236,-31.679327,-15.785689757142858,6.765738488092413
217,CC(=O)[C-]([O+]=C(C#N)c1ccccc1)c1ccccc1,4.38139,11.412012999999996,2.497969453008803,-51.547985,-35.4879429047619,7.623504004488867
218,COC(=O)[C-](c1ccccc1)[N+](C)=C(C)C(C)=O,21.630333,33.666142380952365,5.628918153217308,-31.137802,-13.55468472857143,8.474564578296492
219,CNC(=O)[N-][O+]=CC#N,3.853595,11.378884345454548,3.754343605760227,-60.078613,-46.50125057727273,11.07556045215508
220,CC(=O)C(C)=[N+](C)[NH-],17.28095,28.069752904761902,4.054693185896424,-18.04579,-5.768453833333334,5.917382001732401
221,CNC(=O)C(c1ccccc1)=[N+](C)[O-],25.446365,31.65291175,3.1463956756215548,-8.551534,-0.2924992241666666,3.5214186533349454
222,COC(=O)C(C(C)=O)=[N+](C)[C-](C#N)C(=O)OC,21.293032,29.250493999999996,4.993713031713666,-31.269384,-13.364472157142856,8.365237418809306
223,CNC(=O)C(c1ccccc1)=[N+](C)[C-](C(C)=O)C(=O)NC,32.279255,43.52578368421053,6.109863335139657,-23.963932,-7.317601722736842,7.009240317068738
224,CNC(=O)[C-]([NH+]=C(C#N)c1ccccc1)c1ccccc1,12.184809,25.363893047619047,5.0337142013729625,-25.657856,-10.466133899999997,7.089195133350501
225,C=[N+](C)[C-](C)C(=O)NC,0.8500477,15.234472533333335,5.522808956295513,-43.62285,-29.775742761904763,5.7977644837188835
226,CNC(=O)C=[O+][CH-]c1ccccc1,-2.2723174,8.364049434782608,5.623882862105317,-63.473774,-46.91617604347825,11.878481861192913
227,CNC(=O)C(=[NH+][C-](C(C)=O)C(C)=O)C(=O)OC,19.882595,27.139223799999996,4.376312343488023,-25.593515,-9.373568131499999,7.158302545534268
228,COC(=O)C(C)=[NH+][C-](C(C)=O)C(C)=O,20.570772,29.06673431578947,5.134427808054143,-22.456036,-6.663322978947369,6.376506080907815
229,CNC(=O)[C-](C#N)[NH+]=C(C(C)=O)C(=O)OC,16.964878,22.760489095238093,3.995511816775604,-26.702442,-11.462199128333333,7.185301731680844
230,CNC(=O)[C-]([O+]=C(C#N)C(=O)OC)c1ccccc1,8.869415,14.247678999999996,3.018988544248669,-49.221607,-32.41950523809523,7.705107052587082
231,CNC(=O)C=[N+](C)[CH-]C#N,5.4495816,18.328416314285715,4.386384467449498,-36.484627,-23.69704771428571,5.645734782167492
232,CNC(=O)C(=[NH+][C-](C#N)C(=O)NC)c1ccccc1,16.980305,26.96988719047619,4.595013305499861,-24.366306,-8.918573662714286,7.096848740127985
233,C[C-](C#N)[N+](C)=C(c1ccccc1)c1ccccc1,20.247892,29.051622,4.355371932025361,-30.942707,-14.783730270000001,7.894852346988326
234,CNC(=O)C(=[NH+][C-](C)C)c1ccccc1,8.699478,24.684052095238094,5.854619196585068,-30.747217,-15.095094823809529,6.68114984371367
235,COC(=O)[C-](C#N)[N+](C)=C(C)C,27.633724,36.01004770588235,4.803610527964886,-16.37444,-3.0650461082352947,5.205121371092825
236,CNC(=O)C(=[O+][C-](C(=O)NC)C(=O)NC)c1ccccc1,5.465913,15.146530217391307,6.37056863439746,-58.44568,-36.54833384913044,14.359103925172937
237,CNC(=O)[N-][N+](C)=C(C)C(=O)OC,17.545984,27.09522766666667,4.001148576433489,-27.494864,-11.772399971428571,6.667162265302288
238,C[C-](C#N)[NH+]=C(C#N)c1ccccc1,9.201776,20.621806142857142,4.147788851348008,-27.16041,-13.63022917142857,6.363161690359762
239,CNC(=O)C=[O+][C-](C#N)C(=O)OC,1.5214983,8.601749917391304,6.932016543507632,-56.44627,-38.78034829130435,14.353948245430512
240,COC(=O)C(=[O+][C-](C(C)=O)C(=O)OC)c1ccccc1,10.171846,17.262832261904762,3.753920899822723,-48.868397,-31.756487666666676,7.653807676888224
241,CNC(=O)[N-][O+]=C(C)c1ccccc1,15.406262,21.72137166666667,3.410685603500905,-37.351055,-21.94379,7.107256077640568
242,CC=[N+](C)[C-](C(=O)OC)c1ccccc1,6.052575,20.92508176190476,5.477262314014757,-30.937902,-15.584684714285716,6.1933004593869425
243,CNC(=O)[C-]([NH+]=C(C#N)C#N)C(=O)OC,17.904955,22.869596428571427,3.6442353890245145,-26.402988,-11.79038950952381,7.041767232490081
244,CNC(=O)C(=[NH+][N-]C(C)=O)c1ccccc1,23.821884,30.425565235294123,4.064261087747017,-17.58478,-4.744564699411764,5.498281092852552
245,CC(=O)C=[NH+][N-]C(C)=O,19.906391,26.08077623809524,3.098298012242978,-24.97675,-11.064721474285713,6.352168488200596
246,CNC(=O)C(=[O+][C-](C(C)=O)C(=O)OC)C(=O)OC,6.7423577,11.062428342857142,2.9516215182570313,-57.761272,-42.41938052380952,6.9830867083003305
247,CC(=O)C(c1ccccc1)=[N+](C)[C-](C#N)C(C)=O,26.914349,35.92053966666666,5.41638434454379,-20.98207,-5.626009642222223,6.764304824294464
248,CC(=O)[C-](C)[O+]=C(C)C#N,3.1292,11.579746078260872,7.127779311180677,-58.434196,-40.43581620869565,14.088871086878122
249,CNC(=O)[C-]([O+]=C(C#N)c1ccccc1)C(=O)OC,7.194104,11.918622690476191,2.4433996018894475,-53.410103,-37.37095466666666,7.30475523083583
250,COC(=O)C(=[NH+][CH-]C#N)C(C)=O,14.321559,20.960595333333337,3.8177963397721895,-26.755667,-11.955238383333333,6.509998616474511
251,C=[O+][CH-]C(C)=O,1.7532663,10.253977204347825,5.674738434522722,-60.82908,-47.14154908695652,11.869834544512987
252,CC(=O)C=[N+](C)[C-](C(C)=O)C(C)=O,16.035885,27.317062190476193,5.134426512374995,-25.813406,-10.90459722857143,6.625111756296532
253,COC(=O)C(=[O+][CH-]C#N)c1ccccc1,2.7796667,10.389418578260871,5.715528600201263,-59.7914,-41.06746566347825,13.729847048359211
254,CNC(=O)C(=[O+][NH-])c1ccccc1,7.225309,12.746761785714288,2.461018761287795,-48.834404,-35.204165904761894,6.50853136225323
255,CNC(=O)[N-][N+](C)=C(C#N)C#N,19.1176,23.869062238095232,3.010862611957974,-22.567446,-10.076167837619048,6.345017165293895
256,CNC(=O)[C-](C#N)[O+]=Cc1ccccc1,5.733346,10.90179393809524,2.7497004186213263,-46.48145,-31.938433142857146,6.597669533141799
257,COC(=O)C=[O+][C-](C)C,3.287803,14.722196413043479,6.34802488712971,-58.288475,-40.36498822608696,12.317427262168069
258,C[C-](C)[NH+]=C(C#N)C#N,19.06662,27.76078547058824,4.010624843968458,-14.461618,-4.021169518235293,4.337698225818807
